name,category,rating,reviews_count,latitude,longitude,address,url,imageUrls,place_type,source,location,webUrl,image,amenities,price_range,rating_cleanliness,rating_service,rating_location,rating_value,popularity_score,tags,opening_hours,best_time_to_visit,peak_hours,wheelchair_accessible,family_friendly,cuisine_type,attraction_type,star_rating
Welcome Inn,Hotel,4.7,90.0,-20.0087478,57.6000149,"chemin vingt pieds, La Salette Rd, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Welcome%20Inn&query_place_id=ChIJ-Yh-oH6rfSERh-GmXsy3g1U,https://lh5.googleusercontent.com/p/AF1QipNmEsYvPeXaskoFTpUQsGq5FiBiHQMxphplOO6i=w408-h272-k-no,hotel,Google Maps,,,,"Gym, Room Service, Rooftop Bar, Complimentary Breakfast, 24/7 Reception, Swimming Pool, Valet Parking, In-Room Entertainment, Pet-Friendly, Spa",High,3.1,4.6,4.3,4.3,90.0,Budget-Friendly,24/7,All Year,3:00 PM - 6:00 PM,yes,yes,Italian,Scenic,5-star
Casa Florida Hotel & Spa,Hotel,3.8,838.0,-19.9916197,57.5948636,"Mont Oreb Lane Pereybere, Mauritius",https://www.google.com/maps/search/?api=1&query=Casa%20Florida%20Hotel%20%26%20Spa&query_place_id=ChIJQVzc0barfSERrEZ-rZFeW_4,https://lh5.googleusercontent.com/p/AF1QipOX-HiFpJmRc11PVsk8b6xS_awvscS3JK1vojqG=w408-h272-k-no,hotel,Google Maps,,,,"In-Room Entertainment, Conference Rooms, Laundry Service, Swimming Pool, Spa, Room Service, Airport Shuttle, Gym, Complimentary Breakfast, Valet Parking",High,4.2,3.6,4.6,4.1,838.0,Couple Retreat,9:00 AM - 8:00 PM,Summer,3:00 PM - 6:00 PM,yes,no,Mauritian,Shopping,Luxury
Pereybere Hotel & Spa,Hotel,4.4,250.0,-19.9942914,57.5916943,"Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Pereybere%20Hotel%20%26%20Spa&query_place_id=ChIJnzEjjrarfSER-uYFKQCR-nA,https://images.trvl-media.com/lodging/4000000/3010000/3001100/3001097/d4a84f43_z.jpg,hotel,Google Maps,,,,"In-Room Entertainment, Conference Rooms, Free Wi-Fi, Complimentary Breakfast, Gym, 24/7 Reception, Spa, Room Service, Swimming Pool, Mini-Bar",Low,4.8,4.6,4.1,4.7,250.0,Scenic Views,24/7,All Year,6:00 PM - 9:00 PM,no,yes,Indian,Adventure,5-star
Blue Bird,Hotel,4.7,29.0,-19.996616,57.5889044,"2H3Q+9H2, Old Mill Rd, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Blue%20Bird&query_place_id=ChIJVaNuy9ddfCERnVCtP8uYmUI,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard_bluecom/Ul7SenKlFxtDdEvyhHyJWQppImENxb-gEW2iJF6diuncbtormcgyeKHg-KDu_3i0afm_ZX4EIJuQHah7f-5CyPxAFyJIBU3JnhuGVd-PgJfPVb1IDOTQC-2K1ajpXv2M.jpg,hotel,Google Maps,,,,"Rooftop Bar, Room Service, Spa, Swimming Pool, Airport Shuttle, In-Room Entertainment, Free Wi-Fi, Mini-Bar, Pet-Friendly, Conference Rooms",High,4.6,3.5,4.7,3.7,29.0,Photography Hotspot,24/7,Winter,10:00 AM - 2:00 PM,no,no,Chinese,Scenic,3-star
Mountview Tourist Residence,Guest house,3.2,84.0,-20.2646615,57.4876807,"88 Trianon Ave No.2, Quatre Bornes, Mauritius",https://www.google.com/maps/search/?api=1&query=Mountview%20Tourist%20Residence&query_place_id=ChIJvf5W2mpbfCERM1LyxyR6d-s,https://lh5.googleusercontent.com/p/AF1QipPqlZ1A51Kew5w03xrJnIP1LkUVZfkogVEuwp0E=w408-h261-k-no,hotel,Google Maps,,,,"Gym, Spa, Wi-Fi, Spa Services",High,3.8,4.8,3.9,3.7,84.0,Photography Hotspot,10:00 AM - 6:00 PM,All Year,6:00 PM - 9:00 PM,yes,no,Indian,Adventure,Luxury
Cocoholidays Bed and Breakfast,Hotel,3.7,3.0,-20.2649097,57.4898705,"12 Av. Des Sternes, Quatre Bornes, Mauritius",https://www.google.com/maps/search/?api=1&query=Cocoholidays%20Bed%20and%20Breakfast&query_place_id=ChIJSw2-SGtbfCERwLnmSHQEOoI,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/1d/ca/04/coco-holidays-bed-and.jpg?w=1900&h=1400&s=1,hotel,Google Maps,,,,"Spa, Free Wi-Fi, Conference Rooms, Rooftop Bar, Complimentary Breakfast, Pet-Friendly, Swimming Pool, In-Room Entertainment, 24/7 Reception, Gym",Luxury,3.9,4.9,4.3,4.5,3.0,Nature Lovers,Closed on Sundays,All Year,10:00 AM - 2:00 PM,yes,yes,Italian,Scenic,Luxury
Comfy home-tropical garden & 5 min walk to beach,Bed & breakfast,5.0,1.0,-20.2652476,57.484834,"29 Ave des Goyaviers, Tamarin, Mauritius",https://www.google.com/maps/search/?api=1&query=Comfy%20home-tropical%20garden%20%26%205%20min%20walk%20to%20beach&query_place_id=ChIJ9fxkJUBbfCERrNVJQshN1Pg,,hotel,Google Maps,,,,"Gym, Spa, Wi-Fi, Free Parking",Low,4.1,3.2,4.3,4.4,1.0,Scenic Views,10:00 AM - 6:00 PM,Winter,10:00 AM - 2:00 PM,no,no,Chinese,Cultural,3-star
domaine sept cascades,Bed & breakfast,4.3,17.0,-20.3606409,57.4688387,"JFQ9+PGW, Vacoas-Phoenix, Mauritius",https://www.google.com/maps/search/?api=1&query=domaine%20sept%20cascades&query_place_id=ChIJA1CMpVZdfCERDACqEcNVxew,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/85/63/ef/7-cascades.jpg?w=2100&h=1400&s=1,hotel,Google Maps,,,,"Breakfast Included, Free Parking, Airport Shuttle",Luxury,4.0,4.2,4.3,3.5,17.0,Eco-Friendly,24/7,Summer,10:00 AM - 2:00 PM,no,no,French,Scenic,4-star
7 Cascades Restaurant & Lodges,Lodge,3.7,338.0,-20.360821,57.4694099,"JFQ9+MQF, pitois road, Vacoas-Phoenix, Mauritius",https://www.google.com/maps/search/?api=1&query=7%20Cascades%20Restaurant%20%26%20Lodges&query_place_id=ChIJseS3u1ZdfCERiCF1ySFCYhA,https://images.trvl-media.com/lodging/7000000/6520000/6510400/6510350/0f6ff443_z.jpg,hotel,Google Maps,,,,"Gym, Spa, Wi-Fi, Private Pools",High,4.0,3.1,4.4,4.2,338.0,Eco-Friendly,10:00 AM - 6:00 PM,Winter,3:00 PM - 6:00 PM,no,yes,Italian,Scenic,4-star
Villa Narmada,Hotel,4.2,134.0,-20.0129953,57.5896509,"XHPQ+RV2 Aquamarine Lane, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Villa%20Narmada&query_place_id=ChIJ1eSJ_QirfSERHicIadupnkg,https://cdn.worldota.net/t/1024x768/content/2c/ca/2ccadab64a7654d97d3216e19df6765e996a6158.jpeg,hotel,Google Maps,,,,"Airport Shuttle, Room Service, Laundry Service, Pet-Friendly, Free Wi-Fi, Spa, Complimentary Breakfast, Gym, Swimming Pool, Rooftop Bar",Medium,3.8,3.2,3.4,4.0,134.0,Kid-Friendly,10:00 AM - 6:00 PM,Winter,6:00 PM - 9:00 PM,yes,no,Mauritian,Cultural,3-star
Veranda Resorts,Hotel,5.0,2.0,-20.0718906,57.6155858,"C/O Rogers Hospitality Village Labourdonnais Mapou MU, 31803, Mauritius",https://www.google.com/maps/search/?api=1&query=Veranda%20Resorts&query_place_id=ChIJKcyv2b1VfCERDeV9qT-iJT8,https://lh5.googleusercontent.com/p/AF1QipPX32G_RElp5I1qNL1lN8EglAy-qP26LKkrWYF2=w408-h272-k-no,hotel,Google Maps,,,,"Airport Shuttle, Laundry Service, Spa, Swimming Pool, Gym, Mini-Bar, 24/7 Reception, Free Wi-Fi, In-Room Entertainment, Pet-Friendly",High,4.4,4.5,4.5,3.6,2.0,Nightlife,10:00 AM - 6:00 PM,Summer,3:00 PM - 6:00 PM,no,yes,Mauritian,Adventure,Luxury
Bleu De Toi Boutique Guesthouse,Hotel,4.6,155.0,-19.9973051,57.5870819,"MU, Coastal Road, Pereybere 30546, Mauritius",https://www.google.com/maps/search/?api=1&query=Bleu%20De%20Toi%20Boutique%20Guesthouse&query_place_id=ChIJKVCRZLqrfSERwrsPHL08RKc,https://lh5.googleusercontent.com/p/AF1QipNTWLHBcAKD486qqgjF_dSIKZAV0h2_u7knesmt=w426-h240-k-no,hotel,Google Maps,,,,"Swimming Pool, In-Room Entertainment, Complimentary Breakfast, Pet-Friendly, Free Wi-Fi, Valet Parking, Airport Shuttle, 24/7 Reception, Room Service, Spa",Low,4.7,3.5,4.8,4.5,155.0,Quiet Getaway,24/7,Summer,10:00 AM - 2:00 PM,yes,no,Mauritian,Shopping,Luxury
ATLANTIS Luxury Villa*****,Hotel,4.9,12.0,-20.0177849,57.59633,"XHJW+VGP, Plain des Papayes road, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=ATLANTIS%20Luxury%20Villa*****&query_place_id=ChIJOYvu9terfSERzEZuXe1zHWg,https://lh5.googleusercontent.com/p/AF1QipPHNC2GndkmTY4PoL_vbT9P6yviQ7VQE6xO8mko=w408-h544-k-no,hotel,Google Maps,,,,"Conference Rooms, Complimentary Breakfast, Laundry Service, Free Wi-Fi, Airport Shuttle, In-Room Entertainment, Swimming Pool, Mini-Bar, Spa, Gym",High,3.0,3.0,3.9,3.2,12.0,Quiet Getaway,Closed on Sundays,Summer,10:00 AM - 2:00 PM,yes,yes,Indian,Adventure,3-star
Domaine Victoria,Resort hotel,4.3,28.0,-20.0265923,57.5933139,"Sottise Rd, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Domaine%20Victoria&query_place_id=ChIJuZ9y_hurfSER2tLv5FWULgk,https://lh5.googleusercontent.com/p/AF1QipMQMcHrDSH3KnqpA-N4WdkPXA1d_po_xKZaKYVw=w408-h306-k-no,hotel,Google Maps,,,,"Gym, Spa, Wi-Fi, Free Parking",High,3.7,4.3,4.2,3.8,28.0,Adventure,10:00 AM - 6:00 PM,Winter,10:00 AM - 2:00 PM,yes,no,Seafood,Scenic,5-star
BANO BEACH RESIDENCE,Hotel,4.7,14.0,-20.0128638,57.58469,"Oposite Public Beach GRANDBAY, GrandBay 30549, Mauritius",https://www.google.com/maps/search/?api=1&query=BANO%20BEACH%20RESIDENCE&query_place_id=ChIJSSo8_wirfSERiF-JhtVy81o,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/67/cb/87/grand-bay.jpg?w=2100&h=1400&s=1,hotel,Google Maps,,,,"Rooftop Bar, Airport Shuttle, Complimentary Breakfast, 24/7 Reception, In-Room Entertainment, Spa, Valet Parking, Room Service, Gym, Pet-Friendly",Low,4.9,3.8,4.2,3.2,14.0,Family-Friendly,10:00 AM - 6:00 PM,Winter,3:00 PM - 6:00 PM,yes,no,Indian,Historical,5-star
Le Capricorne villas,Hotel,3.7,21.0,-19.9974808,57.5896518,"Impasse Jolicoeur, Pereybere Beach, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Le%20Capricorne%20villas&query_place_id=ChIJ6eUAe9KrfSERkJFB53En68w,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/23/8e/ec/situated-in-pereybere.jpg?w=1900&h=1400&s=1,hotel,Google Maps,,,,"Laundry Service, Free Wi-Fi, Conference Rooms, Room Service, In-Room Entertainment, Valet Parking, Swimming Pool, Spa, 24/7 Reception, Pet-Friendly",High,3.2,5.0,4.7,4.0,21.0,Nightlife,10:00 AM - 6:00 PM,Winter,3:00 PM - 6:00 PM,yes,yes,Chinese,Historical,5-star
Jolly's Rock,Hotel,5.0,30.0,-19.9978039,57.6538446,"Butte à l'herbe, Calodyne, Mauritius, Grand Gaube 30604, Mauritius",https://www.google.com/maps/search/?api=1&query=Jolly's%20Rock&query_place_id=ChIJGdwNoKQAfSER33P3NnwrhLw,https://lh5.googleusercontent.com/p/AF1QipMOtAtY8SdZrgCVgked2ZM3elQGfWwhxJU1g_Gn=w408-h271-k-no,hotel,Google Maps,,,,"Conference Rooms, Pet-Friendly, Valet Parking, In-Room Entertainment, Mini-Bar, Spa, Room Service, Laundry Service, 24/7 Reception, Complimentary Breakfast",Medium,4.7,4.9,4.5,3.3,30.0,Eco-Friendly,10:00 AM - 6:00 PM,Summer,10:00 AM - 2:00 PM,no,no,Mauritian,Scenic,4-star
Villas Rocher,Hotel,5.0,17.0,-20.0393125,57.5889375,"XH6Q+7HW Aussailles Road Lower Vale - Fond du Sac, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Villas%20Rocher&query_place_id=ChIJY_sD176rfSERpy6KQtOsVW8,https://lh5.googleusercontent.com/p/AF1QipNaPw8ureWTcBy8b04kYysyuNXk9W6F0y6GeAbM=w408-h306-k-no,hotel,Google Maps,,,,"Valet Parking, Laundry Service, Gym, Swimming Pool, Mini-Bar, Complimentary Breakfast, Spa, Rooftop Bar, Pet-Friendly, Airport Shuttle",Medium,4.4,4.1,4.8,4.1,17.0,Cultural Experience,24/7,Winter,3:00 PM - 6:00 PM,no,no,Seafood,Shopping,4-star
Nitzana Residences & Restaurant,Hotel,4.2,587.0,-19.9872029,57.5987492,"Royal Road, Pereybere, Mauritius",https://www.google.com/maps/search/?api=1&query=Nitzana%20Residences%20%26%20Restaurant&query_place_id=ChIJp7Y7rTSqfSER-oWdQktxfGo,https://lh5.googleusercontent.com/p/AF1QipNOnuKvHD-faGmpM5Vslou-fof7iKJRoflr-Vkn=w408-h306-k-no,hotel,Google Maps,,,,"24/7 Reception, Room Service, Gym, Laundry Service, Airport Shuttle, Free Wi-Fi, Complimentary Breakfast, Swimming Pool, Mini-Bar, Spa",Luxury,3.6,4.9,3.9,4.4,587.0,Nature Lovers,Closed on Sundays,All Year,6:00 PM - 9:00 PM,yes,no,French,Adventure,Luxury
Ocean Beauty Boutique Hotel,Hotel,4.0,83.0,-19.9923431,57.5917501,"Pointe d'Azur Pereybere MU, 30547, Mauritius",https://www.google.com/maps/search/?api=1&query=Ocean%20Beauty%20Boutique%20Hotel&query_place_id=ChIJ5xWVaLarfSERKsF_7CsbGHk,https://d2hyz2bfif3cr8.cloudfront.net/imageRepo/1/0/23/740/988/H7VCHL00_J.jpg,hotel,Google Maps,,,,"In-Room Entertainment, Gym, Rooftop Bar, Conference Rooms, Spa, Valet Parking, Free Wi-Fi, Swimming Pool, Complimentary Breakfast, Mini-Bar",Low,3.5,4.8,3.6,3.3,83.0,Pet-Friendly,24/7,Winter,10:00 AM - 2:00 PM,no,yes,Indian,Adventure,4-star
Aquamarine complex,Hotel,4.2,39.0,-20.0121135,57.5896682,"XHQQ+5V3, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Aquamarine%20complex&query_place_id=ChIJK169owerfSERtVIOWqQ41cY,https://cdn.worldota.net/t/1024x768/content/ca/18/ca18dc1413550dd69949a884f7925899b53901d7.JPEG,hotel,Google Maps,,,,"Valet Parking, Mini-Bar, Laundry Service, Airport Shuttle, Pet-Friendly, 24/7 Reception, Complimentary Breakfast, Spa, Gym, Free Wi-Fi",Low,4.1,4.7,4.7,4.8,39.0,Scenic Views,Closed on Sundays,All Year,6:00 PM - 9:00 PM,yes,yes,Seafood,Adventure,5-star
sunshine villa,Hotel,4.1,43.0,-20.0167215,57.5867793,"Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=sunshine%20villa&query_place_id=ChIJzxdLZw-rfSERkqEdtBBenT8,https://cdn.worldota.net/t/1024x768/carsolize/61/3e/613e6b4de97f120242d7132f1a88ade364c01b44.jpeg,hotel,Google Maps,,,,"Mini-Bar, Free Wi-Fi, Swimming Pool, Conference Rooms, Rooftop Bar, 24/7 Reception, Spa, Valet Parking, Pet-Friendly, In-Room Entertainment",Low,3.6,3.2,3.3,3.8,43.0,Shopping Paradise,24/7,All Year,3:00 PM - 6:00 PM,yes,no,Indian,Adventure,5-star
Mont oreb villas,Hotel,4.3,15.0,-19.9940978,57.5962184,"2H4W+9F8, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Mont%20oreb%20villas&query_place_id=ChIJZy6MdLWrfSER92S5esofiZk,https://lh5.googleusercontent.com/p/AF1QipMl_y6FXZ4fqIrlWk_owRGkgypoW-bkFVymG7Uq=w408-h544-k-no,hotel,Google Maps,,,,"Airport Shuttle, Complimentary Breakfast, Laundry Service, Room Service, Pet-Friendly, Spa, 24/7 Reception, In-Room Entertainment, Swimming Pool, Free Wi-Fi",Low,3.4,4.6,4.7,3.1,15.0,Pet-Friendly,Closed on Sundays,Winter,6:00 PM - 9:00 PM,no,no,French,Adventure,4-star
Ocean Lake Tourist Residence,Hotel,3.4,59.0,-20.011867,57.5847636,"Royal Rd, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Ocean%20Lake%20Tourist%20Residence&query_place_id=ChIJ0ZGISgirfSERsD3QI2L6ds0,https://lh5.googleusercontent.com/p/AF1QipOxItI_SO01HCHPL60bdtJkL8oVx136sDCl48TT=w408-h306-k-no,hotel,Google Maps,,,,"Pet-Friendly, In-Room Entertainment, Complimentary Breakfast, Laundry Service, Mini-Bar, Free Wi-Fi, Airport Shuttle, Valet Parking, Gym, Rooftop Bar",High,4.8,3.5,4.1,3.5,59.0,Adventure,9:00 AM - 8:00 PM,Winter,6:00 PM - 9:00 PM,no,yes,Italian,Historical,4-star
Coral Apartments,Hotel,4.2,229.0,-20.0145525,57.6714336,"Sin Fat Road MU, Grand Gaube 30604, Mauritius",https://www.google.com/maps/search/?api=1&query=Coral%20Apartments&query_place_id=ChIJ5X3xuO0AfSERhFayex1YoDc,https://lh5.googleusercontent.com/p/AF1QipPOlWp2UB1RvFSqf4pwdjeMJftAOcrYmyOGWMqh=w408-h306-k-no,hotel,Google Maps,,,,"Room Service, Airport Shuttle, Complimentary Breakfast, Rooftop Bar, In-Room Entertainment, Gym, Free Wi-Fi, Conference Rooms, Mini-Bar, Pet-Friendly",Luxury,3.3,3.0,3.6,4.2,229.0,Budget-Friendly,Closed on Sundays,Summer,10:00 AM - 2:00 PM,yes,no,Chinese,Shopping,3-star
Residence Le Moulin,Hotel,4.3,21.0,-20.0004471,57.5926035,"XHXV+R2H, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Residence%20Le%20Moulin&query_place_id=ChIJpYhH97GrfSERaWlEn0WJT0I,https://lh5.googleusercontent.com/p/AF1QipMgpId7aY9VCHR4KiWdFA1NdqLJj181zKYKV5PU=w426-h240-k-no,hotel,Google Maps,,,,"24/7 Reception, Rooftop Bar, Airport Shuttle, In-Room Entertainment, Complimentary Breakfast, Conference Rooms, Pet-Friendly, Swimming Pool, Free Wi-Fi, Laundry Service",Medium,4.6,3.7,3.5,4.4,21.0,Historical,9:00 AM - 8:00 PM,Summer,3:00 PM - 6:00 PM,no,no,Seafood,Shopping,5-star
Villa Valari,Hotel,4.2,15.0,-19.997606,57.5945355,"2H2V+XR3, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Villa%20Valari&query_place_id=ChIJSSoNb5KrfSERp1uh3ipUQn4,https://lh5.googleusercontent.com/p/AF1QipOp1mqMl5mxl7NJ0B-r5PMcwW-TisXaVMVnCFqh=w408-h544-k-no,hotel,Google Maps,,,,"Complimentary Breakfast, Rooftop Bar, Conference Rooms, Mini-Bar, Room Service, Pet-Friendly, Free Wi-Fi, Spa, In-Room Entertainment, 24/7 Reception",Medium,5.0,4.3,3.1,4.9,15.0,Great Food,24/7,Summer,10:00 AM - 2:00 PM,no,yes,Mauritian,Adventure,3-star
Auberge Miko,Hotel,4.4,71.0,-20.0164549,57.5846071,"Auberge Miko Morcellement Boucan MU, Grand Baie 30529, Mauritius",https://www.google.com/maps/search/?api=1&query=Auberge%20Miko&query_place_id=ChIJxeHkIA-rfSERhTKs2sWzT28,https://lh5.googleusercontent.com/p/AF1QipOwrGd_Wf5lg4tuuoqPho0Bh70lsqvP5nPiYWpJ=w408-h272-k-no,hotel,Google Maps,,,,"Free Wi-Fi, Pet-Friendly, Airport Shuttle, Gym, Room Service, Mini-Bar, Rooftop Bar, In-Room Entertainment, Complimentary Breakfast, Valet Parking",High,4.3,3.7,3.3,4.4,71.0,Historical,24/7,Winter,3:00 PM - 6:00 PM,no,no,Chinese,Cultural,5-star
Azuri Residences & Villas,Hotel,4.5,140.0,-20.0943093,57.7084199,"WP45+79F, Azuri Ocean & Golf Village Roches Noires MU, Rivière du Rempart 31201, Mauritius",https://www.google.com/maps/search/?api=1&query=Azuri%20Residences%20%26%20Villas&query_place_id=ChIJjystwz7-fCERNUfxDeZocwA,https://lh5.googleusercontent.com/p/AF1QipPLCLZuedRtomfBpgHIrRiLs7wxnghbxbfd9PGb=w408-h306-k-no,hotel,Google Maps,,,,"Complimentary Breakfast, Spa, In-Room Entertainment, Pet-Friendly, Valet Parking, Conference Rooms, Laundry Service, 24/7 Reception, Airport Shuttle, Gym",Low,3.6,4.1,4.8,3.8,140.0,Romantic,9:00 AM - 8:00 PM,All Year,6:00 PM - 9:00 PM,no,yes,French,Cultural,Luxury
Villa Angellay,Hotel,4.6,11.0,-19.9991844,57.5964434,"2H2W+8HG, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Villa%20Angellay&query_place_id=ChIJaSyhp-CrfSERU_UKIK59YiM,https://lh5.googleusercontent.com/p/AF1QipO4hAoDxPQd1tu_dFXCOPhpud6xrIGzv-jWHDug=w493-h240-k-no,hotel,Google Maps,,,,"Swimming Pool, Room Service, Gym, Airport Shuttle, Complimentary Breakfast, 24/7 Reception, In-Room Entertainment, Spa, Laundry Service, Mini-Bar",High,4.9,4.9,4.2,3.7,11.0,Water Activities,10:00 AM - 6:00 PM,All Year,6:00 PM - 9:00 PM,yes,no,Seafood,Adventure,Luxury
Anandi Villas,Hotel,3.3,20.0,-20.078665,57.5997319,"WHCX+GVQ, Mapou, Mauritius",https://www.google.com/maps/search/?api=1&query=Anandi%20Villas&query_place_id=ChIJVVVVyR9VfCERJKuTdoo9VAQ,,hotel,Google Maps,,,,"Swimming Pool, Room Service, Conference Rooms, Airport Shuttle, Free Wi-Fi, In-Room Entertainment, Laundry Service, Valet Parking, Pet-Friendly, Spa",Low,4.1,4.7,3.5,3.3,20.0,Adventure,9:00 AM - 8:00 PM,Winter,3:00 PM - 6:00 PM,no,no,French,Cultural,4-star
Sea Resorts Hotels Head Office,Hotel,4.0,8.0,-20.0316987,57.5894697,"Pamplemousses, Mauritius",https://www.google.com/maps/search/?api=1&query=Sea%20Resorts%20Hotels%20Head%20Office&query_place_id=ChIJGYeOUc-rfSERoTGNiIz3zPY,,hotel,Google Maps,,,,"Free Wi-Fi, Pet-Friendly, Mini-Bar, Room Service, 24/7 Reception, Swimming Pool, Spa, Airport Shuttle, Gym, Complimentary Breakfast",Medium,3.7,3.7,3.7,3.4,8.0,Romantic,24/7,All Year,6:00 PM - 9:00 PM,no,yes,Indian,Historical,5-star
Hacienda Plaza,Hotel,4.1,146.0,-19.9902814,57.6006163,"Flamant Lane, Pereybere, Bala Lane, Cap Malheureux, Mauritius",https://www.google.com/maps/search/?api=1&query=Hacienda%20Plaza&query_place_id=ChIJFTNhwcSrfSERikgEW14rL6o,https://lh5.googleusercontent.com/p/AF1QipMzgjVrz6PtQlLLFP6rK0DH-3vlnR3uMTU6cDVN=w408-h816-k-no,hotel,Google Maps,,,,"Valet Parking, Free Wi-Fi, Mini-Bar, Complimentary Breakfast, Laundry Service, Airport Shuttle, 24/7 Reception, Spa, In-Room Entertainment, Gym",Luxury,3.4,5.0,4.2,3.5,146.0,Adventure,24/7,All Year,6:00 PM - 9:00 PM,no,yes,Seafood,Adventure,3-star
Filao Villa Pereybere,Hotel,5.0,15.0,-20.0043655,57.5939282,"Old Mill Rd, Grand Baie, Mauritius",https://www.google.com/maps/search/?api=1&query=Filao%20Villa%20Pereybere&query_place_id=ChIJxTy5PUerfSERtNVWziclrio,https://lh5.googleusercontent.com/p/AF1QipOPumH22lf7oGCdoaO3Vuf8TMQEe_ighK3OYDEu=w408-h287-k-no,hotel,Google Maps,,,,"Gym, Conference Rooms, Spa, Valet Parking, Room Service, Free Wi-Fi, Pet-Friendly, Laundry Service, 24/7 Reception, In-Room Entertainment",Low,4.1,3.4,4.7,3.1,15.0,Great Food,10:00 AM - 6:00 PM,All Year,10:00 AM - 2:00 PM,no,no,Italian,Shopping,3-star
Element Bay 5 - Luxury Beach Apartment,Vacation home rental agency,5.0,1.0,-19.9869431,57.6035232,"2J73+4C7, Cap Malheureux, Mauritius",https://www.google.com/maps/search/?api=1&query=Element%20Bay%205%20-%20Luxury%20Beach%20Apartment&query_place_id=ChIJPQ4EVwCrfSERDIygmE2FoLI,https://lh5.googleusercontent.com/p/AF1QipNiDLySkpnzheasuZ7ogZ-rCVfxCUI806akQA1h=w408-h272-k-no,hotel,Google Maps,,,,"Wi-Fi, Pool, Parking, Scuba Diving",High,4.0,4.6,3.3,4.9,1.0,Pet-Friendly,24/7,All Year,10:00 AM - 2:00 PM,yes,yes,Seafood,Historical,3-star
Les Bougainvilliers,Hotel,4.1,29.0,-20.0081046,57.6777172,"XMRH+Q34, Unnamed Road,, Grand Gaube, Mauritius",https://www.google.com/maps/search/?api=1&query=Les%20Bougainvilliers&query_place_id=ChIJuzJs_ucAfSER2aiD_KRNFb4,https://lh5.googleusercontent.com/p/AF1QipPun1k9-K-JKfaJyW0axQSWSMzTnXxRneUKAnxa=w493-h240-k-no,hotel,Google Maps,,,,"Laundry Service, Rooftop Bar, Pet-Friendly, Conference Rooms, Complimentary Breakfast, Free Wi-Fi, Gym, In-Room Entertainment, Valet Parking, Spa",Medium,4.9,3.4,4.6,4.1,29.0,Pet-Friendly,24/7,All Year,6:00 PM - 9:00 PM,yes,yes,French,Historical,Luxury
Lodesflo,Villa,4.8,8.0,-20.507244,57.4372945,"bel ombre * domaine belle riviere, beau champ * bel ombre, Mauritius",https://www.google.com/maps/search/?api=1&query=Lodesflo&query_place_id=ChIJg27xYcBvfCERWoXJXT3Qb24,https://lh5.googleusercontent.com/p/AF1QipNemPxjlFJe4fp3i6N-aTtQGEx-qaMXx0-d5fpB=w408-h270-k-no,hotel,Google Maps,,,,"Pet-Friendly, Outdoor Seating, Guided Tours",Luxury,4.0,3.8,4.1,3.3,8.0,Photography Hotspot,24/7,Summer,3:00 PM - 6:00 PM,no,yes,Italian,Scenic,3-star
Villa Melia,Hotel,4.7,16.0,-20.1033367,57.7234276,"VPWF+M97, Roches Noires, Mauritius",https://www.google.com/maps/search/?api=1&query=Villa%20Melia&query_place_id=ChIJxQDJnXL-fCERzrxlL6mh7q0,https://lh5.googleusercontent.com/p/AF1QipO9qnmzCkjY00LsJREzBH6zADbuKsWtJUcTk_7U=w408-h306-k-no,hotel,Google Maps,,,,"Valet Parking, Free Wi-Fi, Airport Shuttle, Gym, Mini-Bar, Swimming Pool, Rooftop Bar, Spa, In-Room Entertainment, Pet-Friendly",High,4.6,4.5,4.2,4.8,16.0,Shopping Paradise,Closed on Sundays,Winter,3:00 PM - 6:00 PM,yes,no,Seafood,Shopping,5-star
